name,description,price,quantity,category,image
Laptop,High performance laptop,65000,10,Electronics,https://via.placeholder.com/150
Smartphone,Android smartphone with camera,25000,15,Electronics,https://via.placeholder.com/150
Headphones,Wireless noise cancelling,5000,20,Accessories,https://via.placeholder.com/150
Office Chair,Ergonomic chair,8000,5,Furniture,https://via.placeholder.com/150
Desk Lamp,LED adjustable lamp,1500,25,Home,https://via.placeholder.com/150
Backpack,Travel backpack durable,2000,30,Accessories,https://via.placeholder.com/150
Watch,Analog stylish watch,3000,12,Fashion,https://via.placeholder.com/150
Shoes,Running sports shoes,4000,18,Fashion,https://via.placeholder.com/150
Tablet,Entertainment tablet,20000,8,Electronics,https://via.placeholder.com/150
Keyboard,RGB mechanical keyboard,3500,22,Accessories,https://via.placeholder.com/150
Mouse,Wireless mouse,1200,40,Accessories,https://via.placeholder.com/150
Monitor,24 inch LED monitor,12000,10,Electronics,https://via.placeholder.com/150
Printer,All-in-one printer,9000,6,Electronics,https://via.placeholder.com/150
Router,WiFi high speed router,2500,14,Electronics,https://via.placeholder.com/150
Power Bank,10000mAh power bank,1800,28,Accessories,https://via.placeholder.com/150
Sofa,Comfortable 3-seater sofa,25000,3,Furniture,https://via.placeholder.com/150
Dining Table,Wooden dining table,15000,4,Furniture,https://via.placeholder.com/150
Bed,Queen size bed,20000,2,Furniture,https://via.placeholder.com/150
Curtains,Window curtains set,1200,20,Home,https://via.placeholder.com/150
Fan,Ceiling fan energy efficient,3000,15,Home,https://via.placeholder.com/150
AC,Split air conditioner,35000,5,Electronics,https://via.placeholder.com/150
Refrigerator,Double door fridge,28000,4,Electronics,https://via.placeholder.com/150
Washing Machine,Fully automatic washing machine,22000,6,Electronics,https://via.placeholder.com/150
Microwave,Kitchen microwave oven,8000,7,Home,https://via.placeholder.com/150
Mixer Grinder,Kitchen appliance mixer,3000,10,Home,https://via.placeholder.com/150
Cookware Set,Non-stick cookware set,2500,18,Home,https://via.placeholder.com/150
Water Bottle,Steel water bottle,500,35,Accessories,https://via.placeholder.com/150
Sunglasses,UV protection sunglasses,1500,20,Fashion,https://via.placeholder.com/150
Jacket,Winter jacket warm,3500,12,Fashion,https://via.placeholder.com/150
T-shirt,Cotton t-shirt casual,800,25,Fashion,https://via.placeholder.com/150
Jeans,Denim jeans regular fit,1500,18,Fashion,https://via.placeholder.com/150
Cap,Sports cap adjustable,400,30,Fashion,https://via.placeholder.com/150
Notebook,Spiral notebook,200,50,Stationery,https://via.placeholder.com/150
Pen,Blue ink pen pack,100,60,Stationery,https://via.placeholder.com/150
Marker,Permanent marker,150,40,Stationery,https://via.placeholder.com/150
Calculator,Basic calculator,500,20,Stationery,https://via.placeholder.com/150
Whiteboard,Office whiteboard,2500,8,Stationery,https://via.placeholder.com/150
Speaker,Bluetooth portable speaker,3000,14,Electronics,https://via.placeholder.com/150
Earbuds,Wireless earbuds,2500,18,Accessories,https://via.placeholder.com/150
Gaming Console,Video gaming console,45000,3,Electronics,https://via.placeholder.com/150
Game Controller,Wireless controller,4000,10,Electronics,https://via.placeholder.com/150
VR Headset,Virtual reality headset,15000,5,Electronics,https://via.placeholder.com/150
Tripod,Camera tripod stand,2000,12,Accessories,https://via.placeholder.com/150
Camera,DSLR camera high quality,55000,4,Electronics,https://via.placeholder.com/150
Lens,Camera zoom lens,20000,6,Electronics,https://via.placeholder.com/150
Flash,Camera flash light,8000,7,Electronics,https://via.placeholder.com/150
Hard Drive,1TB external hard drive,5000,15,Electronics,https://via.placeholder.com/150
SSD,512GB SSD fast storage,4500,20,Electronics,https://via.placeholder.com/150
USB Cable,Type C fast charging cable,300,50,Accessories,https://via.placeholder.com/150
Charger,Fast charging adapter,1200,30,Accessories,https://via.placeholder.com/150
